country,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Comoros,,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,8,,,
Cape Verde,11k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20k,0,0,0,0,0,30k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,,,,,
Costa Rica,,,,,,,,,,,2450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,10,0,0,0,0,0,0,0,15,0,0,0,0,87,7,24,0,0,21,0,2,0,0,0,0,1,0,0,12,0,0,0,0,35,0,1,48,0,12,2,0,60,0,8,9,7,0,10,3,10,6,0,19,11,31,27,4,8,0,0,0,9,13,1,0,0,3,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0,0,0,0,0,2500,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,0,0,5,0,0,0,20,0,0,0,0,0,1,7,6,0,3,0,24,15,0,4,0,0,23,0,4,0,0,51,14,2,3,0,6,4,2,5,3,0,4,20,2,1,7,0,0,0,14,2,0,3,0,10,9,6,0,0,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,52,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,29,6,0,0,0,20,418,0,16,6,4,2,15,23,0,32,15,0,0,0,0,3,0,1,6,
Germany,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,1,11,13,5,0,30,3,30,0,6,49,9370,2,14,13,19,9,15,8,4,6,11,8,0,7,5,5,5,0,206,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,0,0,0,0,0,0,0,10,0,0,0,0,145,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,8,0,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,30,0,64,,,,,
Denmark,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,4,0,0,0,0,0,0,0,2,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,7,0,74,0,0,0,0,0,0,0,0,0,0,0,0,1430,7,20,0,0,0,12,12,3,0,0,0,10,0,30,0,11,27,0,347,0,0,3,3,21,703,12,0,175,13,7,7,11,8,0,1,2,21,5,0,0,6,2,
Algeria,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,25,0,1250,0,0,0,0,0,57,0,0,0,0,2,57,30,0,76,0,0,0,21,11,0,0,0,0,0,2630,43,37,0,54,56,0,1,0,22,0,0,21,37,233,0,4,4,0,34,48,921,48,2370,22,22,5,90,93,48,0,10,69,0,6,12,0,0,6,8,0,103,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,40,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,6000,50,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,49,20,0,25,0,0,81,0,0,0,8,0,307,100,0,0,0,5100,0,35,4,0,22,460,0,3,27,245,3,0,78,58,91,0,0,0,21,0,41,3,14,7,34,24,3,12,682,0,0,16,0,6,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,53,0,0,0,0,0,0,0,30,0,0,0,1,552,34,600,49,34,22,0,0,3,0,18,0,13,0,0,0,98,0,58,0,0,0,0,141,26,0,0,0,40,3,0
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Spain,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,50,0,0,11,77,0,0,0,0,445,0,0,0,0,0,0,0,0,400,0,519,0,0,0,0,2,20,0,0,77,45,26,40,0,5,0,45,9,0,0,0,42,30,85,26,0,6,38,10,6,15.1k,29,20,25,6,0,20,5,11,14,0,3,8,5,4,24,27,17,4,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,7,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,0,0,2000,0,0,1,24,0,0,0,100k,0,0,0,71,9,0,0,0,0,300k,0,9,0,367,45,0,0,13,0,2,26,27,40,326,0,48,73,5,22,119,0,211,951,22,45,0,19,0,0,0,0,0,128,0,44,23,34,0,
